sentence,aspect,sentiment
"Игра на контрастах вызывала здоровый смех",humor,positive
"Юмор был настолько специфичен, что не воспринимался",humor,negative
"Пародия получилась теплой и ностальгической",humor,positive
"Комедийные моменты были слишком частыми и навязчивыми",humor,negative
"Абсурдные диалоги стали визитной карточкой",humor,positive
"Шутки били ниже пояса",humor,negative
"Сарказм сквозивший в каждом кадре восхищал",humor,positive
"Юмор был понятен только фанатам жанра",humor,neutral
"Ироничные сцены сменяли друг друга как в калейдоскопе",humor,positive
"Попытки быть смешным вызывали жалость",humor,negative
"Чёрный юмор подан с изысканным вкусом",humor,positive
"Комедийные ситуации повторялись из эпизода в эпизод",humor,negative
"Сатира заставляла смеяться и задумываться одновременно",humor,positive
"Шутки были на уровне школьной самодеятельности",humor,negative
"Анекдотические несовпадения веселили",humor,positive
"Юмор строился на устаревших стереотипах",humor,negative
"Пародийные элементы узнавались с удовольствием",humor,positive
"Комедийные диалоги звучали как плохой перевод",humor,negative
"Ирония была столь тонкой, что её оценили не все",humor,positive
"Шутки вызывали желание выключить фильм",humor,negative
"Саркастичные комментарии героя спасали сцену",humor,positive
"Юмор был слишком локальным для международной аудитории",humor,neutral
"Абсурдные повороты сюжета веселили до колик",humor,positive
"Попытки шутить напоминали пытку",humor,negative
"Чёрный юмор был как хороший коньяк - с послевкусием",humor,positive
"Комедийные элементы вписывались органично",humor,positive
"Шутки были предсказуемы как прогноз погоды",humor,negative
"Сатирические замечания попадали в яблочко",humor,positive
"Юмор строился на унизительных ситуациях",humor,negative
"Пародия удалась благодаря вниманию к деталям",humor,positive
"Комедийные сцены казались оторванными от реальности",humor,negative
"Игра слов восхищала своей изобретательностью",humor,positive
"Шутки были настолько плоскими, что казались двумерными",humor,negative
"Ироничный взгляд на проблемы современности",humor,positive
"Юмор не вызвал ни улыбки, ни смеха",humor,negative
"Абсурдные персонажи стали культовыми",humor,positive
"Попытки быть смешным выглядели вторичными",humor,negative
"Сарказм был как острый нож - резал правду-матку",humor,positive
"Шутки устарели еще до съемок",humor,negative
"Чёрный юмор балансировал на грани дозволенного",humor,positive
"Комедийные моменты были редкими, но меткими",humor,positive
"Юмор строился на казусах с неловкостями",humor,neutral
"Сатирические параллели были гениальны",humor,positive
"Шутки вызывали стон вместо смеха",humor,negative
"Пародийные отсылки узнавались с восторгом",humor,positive
"Комедийные диалоги казались написанными подростком",humor,negative
"Ирония ситуации была столь изысканна, что восхищала",humor,positive
"Шутки били мимо цели с завидным постоянством",humor,negative
"Абсурдные решения героев веселили",humor,positive
"Юмор был слишком простым для заявленной аудитории",humor,negative
"Саркастичные замечания добавляли перчинку",humor,positive
"Попытки шутить выглядели как крик о помощи",humor,negative
"Чёрный юмор был как щекотка для мозга",humor,positive
"Комедийные сцены были лучшей частью фильма",humor,positive
"Шутки повторяли друг друга как близнецы",humor,negative
"Сатира на бюрократию была беспощадной",humor,positive
"Юмор строился на примитивных оплошностях",humor,negative
"Пародийные элементы добавляли легкости",humor,positive
"Комедийные моменты казались неуместными",humor,negative
"Игра на контрастах вызывала здоровый смех",humor,positive
"Шутки были настолько заезжены, что вызывали тошноту",humor,negative
"Ироничные наблюдения были точны как лазер",humor,positive
"Юмор не соответствовал возрасту героев",humor,negative
"Абсурдные ситуации были гениально обыграны",humor,positive
"Попытки быть смешным напоминали школьный КВН",humor,negative
"Сарказм был солью этого фильма",humor,positive
"Шутки вызывали недоумение: это должно было быть смешно?",humor,negative
"Чёрный юмор был как качественный эспрессо - крепкий и бодрящий",humor,positive
"Комедийные элементы были редкими гостями в сюжете",humor,neutral
"Сатирические штрихи дополняли картину",humor,positive
"Юмор строился на утрированных стереотипах",humor,negative
"Пародия получилась любовной и уважительной",humor,positive
"Комедийные сцены портили впечатление",humor,negative
"Ирония диалогов заставляла улыбаться",humor,positive
"Шутки были настолько прозрачны, что не смешили",humor,negative
"Абсурдные персонажи запомнились надолго",humor,positive
"Юмор был слишком сложным для массовой аудитории",humor,neutral
"Саркастичные комментарии разбавляли напряженность",humor,positive
"Попытки шутить вызывали только раздражение",humor,negative
"Чёрный юмор был как хороший тату-мастер - больно, но красиво",humor,positive
"Комедийные моменты были жемчужинами в короне фильма",humor,positive
"Шутки повторялись как заевшая пластинка",humor,negative
"Сатира на политиков была острой как бритва",humor,positive
"Юмор строился на примитивных фарсовых ситуациях",humor,negative
"Пародийные сцены вызывали ностальгическую улыбку",humor,positive
"Комедийные диалоги казались чужими в сценарии",humor,negative
"Игра слов была виртуозной",humor,positive
"Шутки били мимо цели с завидным упорством",humor,negative
"Ироничный тон повествования создавал особое настроение",humor,positive
"Юмор не вызывал ничего кроме недоумения",humor,negative
"Абсурдные повороты сюжета были освежающими",humor,positive
"Попытки быть смешным выглядели убого",humor,negative
"Сарказм был как кислород для этого фильма",humor,positive
"Шутки устарели вместе с каменным веком",humor,negative
"Чёрный юмор был подан с элегантностью",humor,positive
"Комедийные сцены добавляли динамики",humor,positive
"Юмор был настолько специфичен, что воспринимался как странность",humor,neutral
"Сатирические элементы были глотком свежего воздуха",humor,positive
"Шутки вызывали желание провалиться сквозь землю",humor,negative
"Пародийные отсылки были понятны и узнаваемы",humor,positive
"Комедийные моменты казались вставленными по принуждению",humor,negative
"Ирония характеров вызывала теплую улыбку",humor,positive
"Шутки были настолько банальны, что плакать хотелось",humor,negative
"Абсурдные решения героев стали мемами",humor,positive
"Юмор строился на устаревших реалиях",humor,negative
"Саркастичные ремарки украшали диалоги",humor,positive
"Попытки шутить вызывали только жалость к актерам",humor,negative
"Чёрный юмор был как экстремальный аттракцион - страшно, но смешно",humor,positive
"Комедийные элементы были органичной частью сюжета",humor,positive
"Шутки повторялись как мантра",humor,negative
"Сатира на общественные нормы была дерзкой",humor,positive
"Юмор строился на примитивных оговорках",humor,negative
"Пародия удалась благодаря точности деталей",humor,positive
"Комедийные сцены выглядели инородными",humor,negative
"Игра на контрастах вызывала взрывы смеха",humor,positive
"Шутки были настолько плоскими, что казались линейными",humor,negative
"Ироничные ситуации возникали естественно",humor,positive
"Юмор не вызвал ничего кроме разочарования",humor,negative
"Абсурдные диалоги стали вирусными",humor,positive
"Попытки быть смешным напоминали конвульсии",humor,negative
"Сарказм был солью и перцем этого сериала",humor,positive
"Ироничные паузы в диалогах были исполнены безупречно",humor,positive
"Шутки звучали как зачитанный вслух словарь анекдотов",humor,negative
"Абсурдные сравнения вызывали неконтролируемый смех",humor,positive
"Юмор был настолько сухим, что казался безжизненным",humor,negative
"Сатира на соцсети была актуальной и болезненной",humor,positive
"Комедийные сцены напоминали плохой стендап",humor,negative
"Чёрный юмор подавался с изящной небрежностью",humor,positive
"Шутки повторялись, как будто сценаристы пожалели идей",humor,negative
"Пародийные моменты блестели оригинальностью",humor,positive
"Юмор опирался на устаревшие мемы",humor,negative
"Игра с жанровыми клише была восхитительно смешной",humor,positive
"Попытки шутить выглядели как крик в пустоту",humor,negative
"Сарказм героев был точен, как снайперский выстрел",humor,positive
"Шутки заставляли скучать уже к середине фильма",humor,negative
"Абсурдные имена персонажей стали отдельным поводом для смеха",humor,positive
"Юмор был на уровне плохих школьных капустников",humor,negative
"Ироничные аллюзии на классику кино радовали знатоков",humor,positive
"Комедийные диалоги казались написанными наспех",humor,negative
"Чёрный юмор балансировал между шоком и восхищением",humor,positive
"Шутки били мимо цели с размахом",humor,negative
"Сатира на корпоративную культуру была беспощадна",humor,positive
"Юмор строился на примитивных звуковых эффектах",humor,negative
"Пародийные костюмы вызывали взрывы смеха",humor,positive
"Комедийные моменты были редкими и ценными",humor,positive
"Шутки вызывали чувство глубокого стыда",humor,negative
"Ирония в отношении главного героя была изысканной",humor,positive
"Попытки быть смешным напоминали зубную боль",humor,negative
"Саркастичные подписи к кадрам стали изюминкой",humor,positive
"Юмор был настолько локальным, что терялся в переводе",humor,neutral
"Абсурдные сцены с животными украли шоу",humor,positive
"Шутки устарели, как мамонты",humor,negative
"Чёрный юмор был как ледяной душ — бодрил",humor,positive
"Комедийные ситуации казались вырванными из другого фильма",humor,negative
"Сатирические диалоги сверкали остроумием",humor,positive
"Юмор строился на падениях — буквально и фигурально",humor,negative
"Пародия на ток-шоу была до боли точной",humor,positive
"Игра с ожиданиями зрителя вызывала восторг",humor,positive
"Шутки были предсказуемы, как восход солнца",humor,negative
"Ироничные флешбэки добавляли глубины юмору",humor,positive
"Юмор не оставил ничего, кроме чувства неловкости",humor,negative
"Абсурдные научные объяснения смешили до слёз",humor,positive
"Попытки шутить выглядели как пародия на пародию",humor,negative
"Сарказм был приправлен тонкой самоиронией",humor,positive
"Шутки повторялись, как назойливая реклама",humor,negative
"Чёрный юмор был как экзамен на прочность",humor,positive
"Комедийные моменты были разбавлены с умом",humor,positive
"Юмор строился на стереотипах, которым пора на пенсию",humor,negative
"Сатира на моду была острой и актуальной",humor,positive
"Пародийные песни запоминались надолго",humor,positive
"Шутки вызывали вопрос: 'Это вообще должно было быть смешно?'",humor,negative
"Ироничные титры в конце стали вишенкой на торте",humor,positive
"Юмор был настолько плоским, что от него тошнило",humor,negative
"Абсурдные новостные сводки в сюжете были гениальны",humor,positive
"Попытки шутить напоминали детский утренник",humor,negative
"Саркастичные письма героя стали культовыми",humor,positive
"Шутки били ниже плинтуса",humor,negative
"Чёрный юмор был как дорогой виски — с послевкусием",humor,positive
"Комедийные сцены выбивались из общего стиля",humor,negative
"Сатира на ромкомы была убийственно точной",humor,positive
"Юмор строился на штампах, которые уже плесневели",humor,negative
"Пародийные дуэли диалогов восхищали",humor,positive
"Игра с жанровыми ожиданиями была свежей",humor,positive
"Шутки вызывали зевоту вместо смеха",humor,negative
"Ироничные намёки на реальные события радовали",humor,positive
"Юмор был настолько специфичен, что казался инопланетным",humor,neutral
"Абсурдные рекламные паузы в сериале стали хитом",humor,positive
"Попытки шутить выглядели как крик души уставшего клоуна",humor,negative
"Сарказм в адрес главного злодея был бесподобен",humor,positive
"Шутки устарели в день написания сценария",humor,negative
"Чёрный юмор был как качественный триллер — держал в напряжении",humor,positive
"Комедийные моменты были редкими бриллиантами",humor,positive
"Юмор строился на шутках про тещу и тёщу",humor,negative
"Сатирические камео знаменитостей восхищали",humor,positive
"Пародия на детективы была умной и смешной",humor,positive
"Шутки вызывали чувство глубокого разочарования",humor,negative
"Ироничные отсылки к поп-культуре радовали",humor,positive
"Юмор был настолько не к месту, что резал слух",humor,negative
"Абсурдные имена мест действия смешили",humor,positive
"Попытки шутить напоминали конспект по теории юмора",humor,negative
"Саркастичные монологи героя стали мемами",humor,positive
"Шутки были настолько старыми, что пахли нафталином",humor,negative
"Чёрный юмор был как мастер-класс по чёрной комедии",humor,positive
"Комедийные сцены были сняты с идеальным таймингом",humor,positive
"Юмор строился на шутках, которые не смешны даже в подпитии",humor,negative
"Сатира на реалити-шоу была язвительной",humor,positive
"Пародийные фразы героев разошлись на цитаты",humor,positive
"Игра с языковыми барьерами была гениальна",humor,positive
"Шутки вызывали желание выкинуть телевизор в окно",humor,negative
"Ироничные ситуации с второстепенными героями украшали сюжет",humor,positive
"Юмор был настолько заумным, что терял зрителя",humor,neutral
"Абсурдные сны персонажа стали лучшими моментами",humor,positive
"Попытки шутить выглядели как издевательство над зрителем",humor,negative
"Сарказм в титрах добавлял сериалу изюминку",humor,positive
"Шутки били по самым низким ожиданиям",humor,negative
"Чёрный юмор был как дорожная авария — страшно, но не оторваться",humor,positive
"Комедийные моменты были разбросаны с умом",humor,positive
"Юмор строился на штампах из дешевых ситкомов",humor,negative
"Сатира на индустрию кино была меткой",humor,positive
"Пародийные сцены с известными актёрами восхищали",humor,positive
"Шутки вызывали только недоумённое молчание",humor,negative
"Ироничные намёки на политику были дерзкими",humor,positive
"Юмор был настолько примитивен, что оскорблял интеллект",humor,negative
"Абсурдные ляпы в сюжете стали фишкой проекта",humor,positive
"Попытки шутить напоминали пытку для зрителя",humor,negative
"Саркастичные SMS-переписки героев были шедевральны",humor,positive
"Шутки устарели ещё при царе Горохе",humor,negative
"Чёрный юмор был как острый перец — в меру",humor,positive
"Комедийные сцены были срежиссированы виртуозно",humor,positive
"Юмор строился на шутках, которые смешны только в 3 часа ночи",humor,negative
"Сатира на медицинские сериалы была убийственной",humor,positive
"Пародийные дубли голосов вызывали хохот",humor,positive
"Игра с форматом документалки была свежей",humor,positive
"Шутки вызывали желание уснуть на месте",humor,negative
"Ироничные камео режиссёра стали изюминкой",humor,positive
"Юмор был настолько узконаправленным, что пролетал мимо",humor,neutral
"Абсурдные советы героев стали культовыми",humor,positive
"Попытки шутить выглядели как конвульсии умирающего жанра",humor,negative
"Сарказм в адрес зрителя был неожиданно приятен",humor,positive
"Шутки били по самым больным местам — и промахивались",humor,negative
"Чёрный юмор был как хороший хоррор — пугал и смешил",humor,positive
"Комедийные моменты были редкими, но сочными",humor,positive
"Юмор строился на шутках, которые не смешны даже в теории",humor,negative
"Сатира на токсичные отношения была острой",humor,positive
"Пародийные сцены с известными песнями восхищали",humor,positive
"Шутки вызывали только стон и лицоpalm",humor,negative
"Ироничные отсылки к классической литературе радовали",humor,positive
"Юмор был настолько плоским, что казался одномерным",humor,negative
"Абсурдные реплики в сторону стали мемами",humor,positive
"Попытки шутить выглядели как крик о помощи сценаристов",humor,negative
"Саркастичные комментарии к действию добавляли перца",humor,positive
"Шутки устарели вместе с дискетами",humor,negative
"Чёрный юмор был как операция без наркоза — больно, но эффективно",humor,positive
"Комедийные сцены были сняты с любовью к жанру",humor,positive
"Юмор строился на шутках, которые смешны только их авторам",humor,negative
"Сатира на соцсетевые тренды была беспощадна",humor,positive
"Пародийные моменты с известными брендами убивали",humor,positive
"Игра с хронометражем шуток была идеальна",humor,positive
"Шутки вызывали только желание перемотать",humor,negative
"Ироничные аллюзии на исторические события восхищали",humor,positive
"Юмор был настолько специфичен, что казался написанным для инопланетян",humor,neutral
"Абсурдные сцены с неодушевлёнными предметами стали хитом",humor,positive
"Попытки шутить выглядели как пародия на плохой юмор",humor,negative
"Сарказм в адрес жанровых клише был точен",humor,positive
"Шутки били по пустому месту",humor,negative
"Чёрный юмор был как хороший детектив — с подвохом",humor,positive
"Комедийные моменты были редкими, но запоминающимися",humor,positive
"Юмор строился на шутках, которые смешны только в другом измерении",humor,negative
"Сатира на модульные сериалы была острой",humor,positive
"Пародийные сцены с известными фильмами восхищали",humor,positive
"Шутки вызывали только чувство глубокой печали",humor,negative
"Ироничные намёки на современное искусство радовали",humor,positive
"Юмор был настолько плоским, что его можно было использовать как линейку",humor,negative
"Абсурдные диалоги о бытовых мелочах стали культовыми",humor,positive
"Попытки шутить выглядели как агония жанра",humor,negative
"Саркастичные подкасты героя в сюжете были гениальны",humor,positive
"Шутки устарели вместе с VHS",humor,negative
"Чёрный юмор был как элитный шоколад — с горчинкой",humor,positive
"Комедийные сцены были сняты с идеальным чувством стиля",humor,positive
"Юмор строился на шутках, которые не смешны даже в параллельной вселенной",humor,negative
"Сатира на ток-шоу была убийственно точной",humor,positive
"Пародийные моменты с политиками восхищали",humor,positive
"Шутки вызывали только желание забыть",humor,negative
"Ироничные отсылки к научной фантастике радовали",humor,positive
"Юмор был настолько специфичен, что требовал пояснительной бригады",humor,neutral
"Абсурдные сцены с гаджетами стали вирусными",humor,positive
"Попытки шутить выглядели как некролог комедии",humor,negative
"Сарказм в адрес стереотипов был точен",humor,positive
"Шутки били мимо цели с завидным постоянством",humor,negative
"Чёрный юмор был как качественный триллер — с неожиданной развязкой",humor,positive
"Комедийные моменты были редкими жемчужинами",humor,positive
"Юмор строился на шутках, которые смешны только в вакууме",humor,negative
"Сатира на рекламу была язвительной",humor,positive
"Пародийные сцены с селебрити вызывали восторг",humor,positive
"Шутки вызывали только чувство глубокого стыда за создателей",humor,negative
"Ироничные комментарии к действию были бриллиантами",humor,positive
